timestamp,name,category,confidence,distance_m,risk,x1,y1,x2,y2
2026-02-21T13:05:58.566,person,human,0.762,3.12,danger,0,152,125,713
2026-02-21T13:05:58.566,person,human,0.806,8.79,warning,84,518,229,717
2026-02-21T13:05:58.732,person,human,0.899,2.68,danger,208,60,1062,713
2026-02-21T13:05:58.732,person,human,0.782,3.12,danger,0,153,126,714
2026-02-21T13:05:58.732,person,human,0.821,8.75,warning,86,516,230,716
2026-02-21T13:05:58.900,person,human,0.866,2.68,danger,202,60,1081,713
2026-02-21T13:05:58.900,person,human,0.799,3.11,danger,0,150,127,713
2026-02-21T13:05:58.900,person,human,0.821,8.75,warning,84,517,230,717
2026-02-21T13:05:59.085,person,human,0.889,2.65,danger,192,51,1086,712
2026-02-21T13:05:59.085,person,human,0.774,3.12,danger,0,154,127,714
2026-02-21T13:05:59.085,person,human,0.824,8.84,warning,85,518,225,716
2026-02-21T13:05:59.239,person,human,0.899,2.65,danger,182,51,1083,712
2026-02-21T13:05:59.239,person,human,0.787,3.12,danger,0,153,126,714
2026-02-21T13:05:59.239,person,human,0.832,8.93,warning,86,519,219,715
2026-02-21T13:05:59.458,person,human,0.892,2.64,danger,177,50,1096,712
2026-02-21T13:05:59.458,person,human,0.820,3.12,danger,0,153,128,713
2026-02-21T13:05:59.458,person,human,0.823,8.84,warning,85,517,215,715
2026-02-21T13:05:59.647,person,human,0.881,2.62,danger,169,44,1094,713
2026-02-21T13:05:59.647,person,human,0.797,3.12,danger,0,153,137,714
2026-02-21T13:05:59.647,person,human,0.797,8.84,warning,86,516,210,714
2026-02-21T13:05:59.816,person,human,0.897,2.6,danger,164,39,1094,713
2026-02-21T13:05:59.816,person,human,0.816,3.11,danger,0,150,146,713
2026-02-21T13:05:59.816,person,human,0.708,9.26,warning,83,519,203,708
2026-02-21T13:05:59.983,person,human,0.888,2.55,danger,159,27,1091,713
2026-02-21T13:05:59.983,person,human,0.852,3.13,danger,0,153,149,712
2026-02-21T13:05:59.983,person,human,0.700,9.46,warning,85,519,200,704
2026-02-21T13:06:00.133,person,human,0.887,2.55,danger,154,28,1088,713
2026-02-21T13:06:00.133,person,human,0.852,3.12,danger,0,153,152,713
2026-02-21T13:06:00.322,person,human,0.893,2.55,danger,172,26,1114,712
2026-02-21T13:06:00.322,person,human,0.868,3.13,danger,0,153,153,712
2026-02-21T13:06:00.322,person,human,0.647,9.56,warning,86,519,201,702
2026-02-21T13:06:00.479,person,human,0.891,2.54,danger,176,23,1141,712
2026-02-21T13:06:00.479,person,human,0.870,3.12,danger,0,153,154,713
2026-02-21T13:06:00.479,person,human,0.581,9.41,warning,88,521,208,707
2026-02-21T13:06:00.659,person,human,0.902,2.53,danger,159,20,1157,713
2026-02-21T13:06:00.659,person,human,0.855,3.14,danger,0,154,155,712
2026-02-21T13:06:00.659,person,human,0.598,9.26,warning,86,518,207,707
2026-02-21T13:06:00.802,person,human,0.905,2.55,danger,164,27,1155,713
2026-02-21T13:06:00.802,person,human,0.829,3.14,danger,0,155,152,713
2026-02-21T13:06:00.979,person,human,0.891,2.59,danger,160,37,1167,713
2026-02-21T13:06:00.979,person,human,0.826,3.15,danger,0,157,149,712
2026-02-21T13:06:01.143,person,human,0.902,2.61,danger,158,41,1255,712
2026-02-21T13:06:01.143,person,human,0.849,3.14,danger,0,154,142,712
2026-02-21T13:06:01.311,person,human,0.912,2.64,danger,160,49,1258,713
2026-02-21T13:06:01.311,person,human,0.839,3.14,danger,0,155,138,713
2026-02-21T13:06:01.311,person,human,0.506,9.16,warning,87,520,207,711
2026-02-21T13:06:01.481,person,human,0.856,2.66,danger,145,53,1256,712
2026-02-21T13:06:01.481,person,human,0.767,3.15,danger,0,157,136,713
2026-02-21T13:06:01.643,person,human,0.748,2.67,danger,155,56,1024,712
2026-02-21T13:06:01.643,person,human,0.784,3.16,danger,0,157,135,711
2026-02-21T13:06:01.818,person,human,0.892,2.64,danger,153,50,1279,712
2026-02-21T13:06:01.818,person,human,0.790,3.14,danger,0,153,138,711
2026-02-21T13:06:01.992,person,human,0.883,2.63,danger,153,46,1280,712
